n,method,residue,error,iterations
30,Jacobi,1.6241122299230706e-09,1.855332418056351e-11,18
30,Seidel,1.7816662568922371e-10,2.07422813484765e-12,12
31,Gauss,1.4050073057550484e-13,1.793620188084545e-15,
31,Jacobi,5.451382097713856e-10,7.89097931923025e-12,17
31,Seidel,1.857578107609584e-10,2.4787496168273783e-12,12
32,Gauss,1.3759600911837626e-13,1.824282583346435e-15,
32,Jacobi,1.5984114333705468e-09,1.648722943948324e-11,17
32,Seidel,2.935960717523791e-10,3.830689349775546e-12,12
33,Gauss,1.1740092732181256e-13,1.7798229048217483e-15,
33,Jacobi,7.628102540084821e-10,1.0014512280953449e-11,17
33,Seidel,2.7668233799569707e-10,3.1665953877149543e-12,12
34,Gauss,1.6342482922482304e-13,1.824282583346435e-15,
34,Jacobi,1.0197385844510123e-09,1.407560398706721e-11,16
34,Seidel,9.195240170933966e-11,1.0944015285686071e-12,12
35,Gauss,1.537138960314901e-13,1.709166621382058e-15,
35,Jacobi,1.3157298005540775e-09,1.3284482762660135e-11,16
35,Seidel,8.625154293748888e-11,1.0671508932359223e-12,12
36,Gauss,1.1588601317882371e-13,1.3042167484290357e-15,
36,Jacobi,3.160409439810839e-10,4.006610086697151e-12,17
36,Seidel,7.604762242316509e-11,8.66679296975117e-13,12
37,Gauss,1.640415288849112e-13,1.824282583346435e-15,
37,Jacobi,1.0512213153214554e-09,1.0401820676475898e-11,16
37,Seidel,7.120041728170486e-11,8.161619092071363e-13,12
38,Gauss,1.8087465124037088e-13,1.9293619143415393e-15,
38,Jacobi,5.034187192595165e-10,5.1987243081406285e-12,17
38,Seidel,5.251878784355501e-10,5.878819886150201e-12,11
39,Gauss,1.8986255008552728e-13,2.085919684541963e-15,
39,Jacobi,6.383279887437255e-10,7.048543928069044e-12,16
39,Seidel,8.841126109974973e-11,9.006149089131002e-13,12
40,Gauss,1.9691137908567693e-13,1.797052957135242e-15,
40,Jacobi,1.123109250994161e-09,1.346058626434769e-11,16
40,Seidel,2.3018251293965526e-10,2.399504786496021e-12,11
41,Gauss,2.3057084404723514e-13,2.2535066179978845e-15,
41,Jacobi,2.9602975154836e-10,3.2888859178117122e-12,16
41,Seidel,1.6893113435462593e-10,1.742013256128527e-12,11
42,Gauss,1.9276541204150329e-13,1.817513422402428e-15,
42,Jacobi,8.049314830715712e-10,6.814463699895912e-12,16
42,Seidel,2.150795072856699e-10,2.0114349241111246e-12,11
43,Gauss,2.1598629236863564e-13,2.0471501066083613e-15,
43,Jacobi,6.609827784633386e-10,5.593063567232896e-12,16
43,Seidel,1.4324622969047388e-10,1.2945447836928608e-12,12
44,Gauss,2.322072793726902e-13,2.0561618160832724e-15,
44,Jacobi,4.386916933661397e-10,3.706303337855755e-12,16
44,Seidel,4.986949558090897e-10,4.255091611196885e-12,11
45,Gauss,2.225485184704585e-13,2.085919684541963e-15,
45,Jacobi,1.8217265164969303e-09,1.5099676065245204e-11,15
45,Seidel,1.580097844079286e-10,1.3723076683433082e-12,11
46,Gauss,3.0478887807599926e-13,2.603703785810335e-15,
46,Jacobi,1.2294785713818108e-09,1.0128513668819397e-11,15
46,Seidel,4.6128979939783206e-10,4.156001734625839e-12,11
47,Gauss,2.360884497795176e-13,2.318213734067276e-15,
47,Jacobi,7.172265788234136e-10,5.905546194829992e-12,15
47,Seidel,1.2123580662335223e-10,9.728374153064118e-13,12
48,Gauss,2.887986942269773e-13,2.6575873065728005e-15,
48,Jacobi,1.8293540422224026e-09,1.4488172262329978e-11,15
48,Seidel,4.2450835181423906e-10,3.502817577583152e-12,11
49,Gauss,3.5612299842971617e-13,2.8586895494306337e-15,
49,Jacobi,8.512191070892231e-10,6.837440787911776e-12,15
49,Seidel,2.916423184325555e-10,2.4812498419584995e-12,11
50,Gauss,2.9673135796061134e-13,2.275280134513746e-15,
50,Jacobi,4.076977765380941e-10,3.096358080424019e-12,16
50,Seidel,2.9725000218435744e-10,2.577980497877494e-12,11
